Date,Origin,Dest,Depart,Arrive,Hobbs,Flight Time,Flight Distance,Fuel,Fuel/hr,Fuel/nm,Altitude,Speed
"Tue, May 30, 2017",KHTO,KHTO,17:46,17:48,0.03 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Thu, May 25, 2017",KBED,KHTO,16:46,17:53,1.05 hrs,0.85 hrs,130.34 nm,17.00 gal,16.13 gal/hr,0.13 gal/nm,6019 msl,145 kts
"Wed, May 24, 2017",KHTO,KBED,14:54,15:51,0.89 hrs,0.78 hrs,116.71 nm,14.67 gal,16.42 gal/hr,0.13 gal/nm,5516 msl,141 kts
"Wed, May 24, 2017",KHTO,KHTO,14:51,14:54,0.05 hrs,0.00 hrs,0.00 nm,0.16 gal,3.37 gal/hr,0.00 gal/nm,0 msl,0 kts
"Wed, May 24, 2017",KBED,KHTO,09:26,11:12,0.73 hrs,0.59 hrs,103.19 nm,11.93 gal,16.30 gal/hr,0.12 gal/nm,4511 msl,170 kts
"Sat, May 20, 2017",,,14:35,14:36,0 hrs,0.00 hrs,0.00 nm,0.00 gal,0.00 gal/hr,0.00 gal/nm,0 msl,0 kts
"Sat, May 20, 2017",KPWM,KBED,13:41,14:41,0.85 hrs,0.65 hrs,100.38 nm,12.63 gal,14.92 gal/hr,0.13 gal/nm,4526 msl,145 kts
"Sat, May 20, 2017",KBED,KPWM,11:56,12:44,0.78 hrs,0.56 hrs,85.36 nm,11.62 gal,14.97 gal/hr,0.14 gal/nm,5526 msl,147 kts
"Fri, May 19, 2017",KTEB,KBED,16:20,17:48,1.39 hrs,0.91 hrs,165.87 nm,19.96 gal,14.38 gal/hr,0.12 gal/nm,5527 msl,172 kts
"Thu, May 18, 2017",KBED,KTEB,07:21,08:37,1.22 hrs,1.09 hrs,161.14 nm,21.34 gal,17.44 gal/hr,0.13 gal/nm,6536 msl,144 kts
